,sex,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,freetime,goout,health,absences,G1,G2,G3
0,0,0,4,4,0,2,2,2,0,0,0,0,0,0,0,0,3,4,3,4,0,11,11
1,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,3,3,3,2,9,11,11
2,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,3,2,3,6,12,13,12
3,0,0,4,2,4,3,1,3,0,0,0,0,0,0,0,0,2,2,5,0,14,14,14
4,0,0,3,3,1,1,1,2,0,0,0,0,0,0,0,0,3,2,5,0,11,13,13
5,0,0,4,3,3,1,1,2,0,0,0,0,0,0,0,0,4,2,5,6,12,12,13
6,0,0,2,2,1,1,1,2,0,0,0,0,0,0,0,0,4,4,3,0,13,12,13
7,0,0,4,4,1,2,2,2,0,0,0,0,0,0,0,0,1,4,1,2,10,13,13
8,0,0,3,2,3,1,1,2,0,0,0,0,0,0,0,0,2,2,1,0,15,16,17
9,0,0,3,4,1,1,1,2,0,0,0,0,0,0,0,0,5,1,5,0,12,12,13
10,0,0,4,4,2,4,1,2,0,0,0,0,0,0,0,0,3,3,2,2,14,14,14
11,0,0,2,1,3,1,3,3,0,0,0,0,0,0,0,0,2,2,4,0,10,12,13
12,0,0,4,4,4,3,1,1,0,0,0,0,0,0,0,0,3,3,5,0,12,13,12
13,0,0,4,3,2,1,2,2,0,0,0,0,0,0,0,0,4,3,3,0,12,12,13
14,0,0,2,2,1,1,1,3,0,0,0,0,0,0,0,0,5,2,3,0,14,14,15
15,0,0,4,4,4,1,1,1,0,0,0,0,0,0,0,0,4,4,2,6,17,17,17
16,0,0,4,4,3,3,1,3,0,0,0,0,0,0,0,0,2,3,2,10,13,13,14
17,0,0,3,3,1,1,3,2,0,0,0,0,0,0,0,0,3,2,4,2,13,14,14
18,0,0,3,2,3,3,1,1,3,0,0,0,0,0,0,0,5,5,5,2,8,8,7
19,0,0,4,3,4,1,1,1,0,0,0,0,0,0,0,0,1,3,5,6,12,12,12
20,0,0,4,3,2,1,1,2,0,0,0,0,0,0,0,0,4,1,1,0,12,13,14
21,0,0,4,4,4,4,1,1,0,0,0,0,0,0,0,0,4,2,5,0,11,12,12
22,0,0,4,2,2,1,1,2,0,0,0,0,0,0,0,0,5,1,5,0,12,13,14
23,0,0,2,2,1,1,2,2,0,0,0,0,0,0,0,0,4,4,5,2,10,10,10
24,0,0,2,4,3,4,1,3,0,0,0,0,0,0,0,0,3,2,5,2,10,11,10
25,0,0,2,2,3,3,1,1,0,0,0,0,0,0,0,0,2,2,5,6,10,11,12
26,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,2,5,8,11,12,12
27,0,0,4,2,4,3,1,1,0,0,0,0,0,0,0,0,2,4,1,0,11,11,11
28,0,0,3,4,3,1,1,2,0,0,0,0,0,0,0,0,3,3,5,2,12,12,13
29,0,0,4,4,2,2,1,2,0,0,0,0,0,0,0,0,4,5,5,4,12,11,12
30,0,0,4,4,4,3,1,2,0,0,0,0,0,0,0,0,4,2,5,0,10,11,11
31,0,0,4,4,3,3,2,2,0,0,0,0,0,0,0,0,3,1,5,2,15,15,15
32,0,0,4,3,2,0,1,2,0,0,0,0,0,0,0,0,5,2,5,0,13,14,15
33,0,0,3,3,1,1,1,2,0,0,0,0,0,0,0,0,3,2,2,0,13,12,12
34,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,4,3,5,4,12,12,12
35,0,0,2,3,1,1,2,1,0,0,0,0,0,0,0,0,5,1,5,4,11,11,11
36,0,0,4,3,2,3,1,3,0,0,0,0,0,0,0,0,4,3,4,0,14,14,14
37,0,0,4,4,1,2,2,3,0,0,0,0,0,0,0,0,4,3,5,4,13,13,13
38,0,0,3,4,3,4,1,3,0,0,0,0,0,0,0,0,3,2,5,2,11,12,12
39,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,3,1,2,8,14,13,12
40,0,0,2,2,1,1,2,2,0,0,0,0,0,0,0,0,3,3,3,16,11,11,10
41,0,0,4,4,2,1,1,1,0,0,0,0,0,0,0,0,4,3,5,8,10,11,11
42,0,0,4,4,3,2,1,2,0,0,0,0,0,0,0,0,3,3,5,0,14,15,15
43,0,0,2,2,3,3,1,1,0,0,0,0,0,0,0,0,4,1,1,0,9,10,10
44,0,0,2,2,1,0,2,2,1,0,0,0,0,0,0,0,3,3,5,14,10,11,11
45,0,0,4,3,1,1,1,2,0,0,0,0,0,0,0,0,2,2,5,4,10,11,11
46,0,0,3,3,1,3,1,2,0,0,0,0,0,0,0,0,3,5,3,6,13,12,13
47,0,0,4,3,4,3,1,4,0,0,0,0,0,0,0,0,2,2,2,2,17,17,17
48,0,0,4,2,2,1,1,2,0,0,0,0,0,0,0,0,3,3,5,4,11,12,13
49,0,0,4,4,3,2,1,2,0,0,0,0,0,0,0,0,4,4,3,2,13,12,12
50,0,0,2,2,3,3,3,2,0,0,0,0,0,0,0,0,3,3,4,0,14,13,13
51,0,0,4,2,4,1,1,2,0,0,0,0,0,0,0,0,3,3,5,0,16,14,16
52,0,0,4,2,4,4,2,1,0,0,0,0,0,0,0,0,5,5,5,4,10,9,9
53,0,0,4,4,3,3,1,1,0,0,0,0,0,0,0,0,3,4,5,0,13,12,12
54,0,0,3,3,1,1,1,1,0,0,0,0,0,0,0,0,3,4,1,0,13,12,13
55,0,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,3,4,2,2,12,13,12
56,0,0,4,3,3,3,1,2,0,0,0,0,0,0,0,0,3,2,1,0,15,14,15
57,0,0,4,4,2,4,1,2,0,0,0,0,0,0,0,0,2,2,5,8,15,15,16
58,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,3,2,5,0,14,13,14
59,0,0,4,2,3,1,1,2,0,0,0,0,0,0,0,0,2,3,5,2,16,15,16
60,0,0,4,4,4,2,1,2,0,0,0,0,0,0,0,0,4,4,4,0,17,16,16
61,0,0,1,1,3,3,4,1,0,0,0,0,0,0,0,0,5,5,5,0,10,10,16
